ID,Intracellular Robustness,Extracellular Robustness,Topological Robustness,Total Robustness
80,0.002743484,0.238095238,0.714285714,0.000466579
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0.006401463,0.255102041,0.666666667,0.001088684
85,0.005944216,0.307692308,0.666666667,0.001219326
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0.003657979,0.321428571,0.666666667,0.000783853
112,0.002743484,0.238095238,0.666666667,0.000435474
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0.004572474,0.314285714,0.666666667,0.000958042
118,0.005029721,0.324675325,0.666666667,0.001088684
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0.004115226,0.317460317,0.666666667,0.000870947
124,0.005486968,0.25,0.666666667,0.000914495
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0.001981405,0.362637363,0.714285714,0.000513237
136,0,0,0,0
137,0.001981405,0.274725275,0.714285714,0.000388816
138,0.001371742,0.317460317,0.714285714,0.000311053
139,0,0,0,0
140,0.001219326,0.25,0.714285714,0.000217737
141,0.004420058,0.24137931,0.857142857,0.000914495
142,0,0,0,0
143,0.003353147,0.324675325,0.857142857,0.000933158
144,0.003048316,0.271428571,0.857142857,0.0007092
145,0,0,0,0
146,0.003505563,0.291925466,0.857142857,0.000877168
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0.001828989,0.238095238,0.714285714,0.000311053
158,0.000304832,0.142857143,0.75,3.27E-05
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0.006706295,0.227272727,0.714285714,0.001088684
163,0.000762079,0.228571429,0.714285714,0.000124421
164,0.000457247,0.19047619,0.714285714,6.22E-05
165,0.003200732,0.278911565,0.714285714,0.000637658
166,0.001219326,0.160714286,0.75,0.000146972
167,0,0,0,0
168,0.001524158,0.257142857,0.714285714,0.000279947
169,0.001371742,0.238095238,0.714285714,0.000233289
170,0,0,0,0
171,0.001371742,0.301587302,0.714285714,0.0002955
172,0.001219326,0.25,0.714285714,0.000217737
173,0,0,0,0
174,0.010211858,0.223880597,0.857142857,0.001959632
175,0.0028959,0.293233083,0.857142857,0.000727863
176,0,0,0,0
177,0.005486968,0.265873016,0.857142857,0.001250431
178,0.003962811,0.203296703,0.857142857,0.000690537
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0.001524158,0.3,0.666666667,0.000304832
185,0.000914495,0.214285714,0.666666667,0.000130642
186,0,0,0,0
187,0.005334553,0.253061224,0.8,0.001079975
188,0.005486968,0.321428571,0.733333333,0.001293357
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,0.007163542,0.191489362,0.733333333,0.001005944
202,0.000609663,0.142857143,0.666666667,5.81E-05
203,0.000457247,0.142857143,0.533333333,3.48E-05
204,0,0,0,0
205,0,0,0,0
206,0,0,0,0
207,0.001066911,0.285714286,0.666666667,0.000203221
208,0,0,0,0
209,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,0,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0.001981405,0.32967033,0.666666667,0.000435474
227,0.001524158,0.2,0.666666667,0.000203221
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,0.002286237,0.2,0.733333333,0.000335315
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,0,0,0,0
237,0.008840116,0.221674877,0.733333333,0.001437063
238,0,0,0,0
239,0,0,0,0
240,0.001524158,0.285714286,0.8,0.000348379
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,0.001524158,0.328571429,0.8,0.000400636
245,0.001524158,0.242857143,0.733333333,0.000271445
246,0.004267642,0.265306122,0.8,0.000905785
247,0,0,0,0
248,0.000304832,0.142857143,0.6,2.61E-05
249,0,0,0,0
250,0.001524158,0.285714286,0.666666667,0.000290316
251,0.001371742,0.301587302,0.666666667,0.0002758
252,0,0,0,0
253,0,0,0,0
254,0,0,0,0
255,0,0,0,0
256,0.001524158,0.328571429,0.666666667,0.000333863
257,0.001676574,0.220779221,0.666666667,0.000246768
258,0,0,0,0
259,0,0,0,0
260,0,0,0,0
261,0.000304832,0.142857143,0.666666667,2.90E-05
262,0.004572474,0.233333333,0.733333333,0.000782401
263,0.004572474,0.366666667,0.666666667,0.001117716
264,0.012498095,0.214285714,0.733333333,0.001963986
265,0.000609663,0.142857143,0.666666667,5.81E-05
266,0.000152416,0.142857143,0.533333333,1.16E-05
267,0.000457247,0.19047619,0.733333333,6.39E-05
268,0.004572474,0.252380952,0.733333333,0.000846271
269,0.005486968,0.30952381,0.733333333,0.001245455
270,0.003810395,0.285714286,0.666666667,0.00072579
271,0,0,0,0
272,0,0,0,0
273,0,0,0,0
274,0,0,0,0
275,0,0,0,0
276,0,0,0,0
277,0,0,0,0
278,0,0,0,0
279,0,0,0,0
280,0.003048316,0.314285714,0.666666667,0.000638695
281,0.002743484,0.23015873,0.666666667,0.000420958
282,0.000304832,0.142857143,0.733333333,3.19E-05
283,0.004724889,0.258064516,0.8,0.000975461
284,0.005486968,0.337301587,0.666666667,0.001233842
285,0,0,0,0
286,0,0,0,0
287,0,0,0,0
288,0,0,0,0
289,0,0,0,0
290,0,0,0,0
291,0,0,0,0
292,0,0,0,0
293,0,0,0,0
294,0,0,0,0
295,0,0,0,0
296,0,0,0,0
297,0.002743484,0.166666667,0.733333333,0.000335315
298,0,0,0,0
299,0,0,0,0
300,0.001066911,0.224489796,0.8,0.000191609
301,0.000304832,0.142857143,0.6,2.61E-05
302,0,0,0,0
303,0,0,0,0
304,0,0,0,0
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,0,0,0,0
317,0,0,0,0
318,0,0,0,0
319,0,0,0,0
320,0,0,0,0
321,0,0,0,0
322,0,0,0,0
323,0,0,0,0
324,0,0,0,0
325,0.000914495,0.214285714,0.666666667,0.000130642
326,0.001219326,0.303571429,0.666666667,0.000246768
327,0,0,0,0
328,0,0,0,0
329,0,0,0,0
330,0.001219326,0.25,0.8,0.000243865
331,0,0,0,0
332,0,0,0,0
333,0.006706295,0.227272727,0.8,0.001219326
334,0,0,0,0
335,0,0,0,0
336,0.000304832,0.214285714,0.733333333,4.79E-05
337,0,0,0,0
338,0,0,0,0
339,0.002743484,0.285714286,0.733333333,0.000574825
340,0,0,0,0
341,0,0,0,0
342,0.000304832,0.142857143,0.666666667,2.90E-05
343,0.001981405,0.21978022,0.733333333,0.000319347
344,0.003353147,0.324675325,0.666666667,0.000725789
345,0,0,0,0
346,0.002438653,0.303571429,0.666666667,0.000493537
347,0.001828989,0.321428571,0.666666667,0.000391926
348,0,0,0,0
349,0.002286237,0.247619048,0.666666667,0.000377411
350,0.001524158,0.314285714,0.666666667,0.000319347
351,0,0,0,0
352,0,0,0,0
353,0,0,0,0
354,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0.000609663,0.142857143,0.733333333,6.39E-05
358,0.003810395,0.268571429,0.733333333,0.000750466
359,0.003810395,0.365714286,0.666666667,0.000929011
360,0.001219326,0.142857143,0.666666667,0.000116126
361,0.003657979,0.255952381,0.733333333,0.000686597
362,0.003962811,0.32967033,0.666666667,0.000870947
363,0.009144947,0.20952381,0.733333333,0.001405128
364,0,0,0,0
365,0,0,0,0
366,0.003657979,0.255952381,0.8,0.000749015
367,0,0,0,0
368,0,0,0,0
369,0,0,0,0
370,0,0,0,0
371,0,0,0,0
372,0,0,0,0
373,0,0,0,0
374,0,0,0,0
375,0,0,0,0
376,0,0,0,0
377,0,0,0,0
378,0,0,0,0
379,0,0,0,0
380,0,0,0,0
381,0.001371742,0.285714286,0.714285714,0.000279947
382,0.001371742,0.317460317,0.714285714,0.000311053
383,0,0,0,0
384,0.001066911,0.244897959,0.714285714,0.000186632
385,0.001066911,0.224489796,0.714285714,0.000171079
386,0,0,0,0
387,0,0,0,0
388,0.001524158,0.3,0.714285714,0.000326605
389,0.001371742,0.19047619,0.714285714,0.000186632
390,0,0,0,0
391,0.001524158,0.257142857,0.714285714,0.000279947
392,0.001066911,0.204081633,0.714285714,0.000155526
393,0.006249047,0.264808362,0.857142857,0.0014184
394,0.002743484,0.246031746,0.714285714,0.000482132
395,0,0,0,0
396,0.003962811,0.318681319,0.857142857,0.001082463
397,0.003048316,0.285714286,0.714285714,0.000622105
398,0,0,0,0
399,0,0,0,0
400,0.002438653,0.267857143,0.714285714,0.000466579
401,0.002438653,0.339285714,0.714285714,0.000591
402,0,0,0,0
403,0.002286237,0.247619048,0.714285714,0.000404368
404,0.001981405,0.32967033,0.714285714,0.000466579
405,0,0,0,0
406,0,0,0,0
407,0,0,0,0
408,0,0,0,0
409,0,0,0,0
410,0,0,0,0
411,0,0,0,0
412,0,0,0,0
413,0,0,0,0
414,0,0,0,0
415,0,0,0,0
416,0,0,0,0
417,0,0,0,0
418,0,0,0,0
419,0,0,0,0
420,0,0,0,0
421,0,0,0,0
422,0,0,0,0
423,0,0,0,0
424,0,0,0,0
425,0,0,0,0
426,0.003353147,0.24025974,0.714285714,0.000575447
427,0,0,0,0
428,0,0,0,0
429,0.008230453,0.227513228,0.714285714,0.001337526
430,0,0,0,0
431,0,0,0,0
432,0.001219326,0.267857143,0.714285714,0.000233289
433,0,0,0,0
434,0,0,0,0
435,0.003353147,0.279220779,0.714285714,0.000668763
436,0,0,0,0
437,0,0,0,0
438,0,0,0,0
439,0,0,0,0
440,0,0,0,0
441,0,0,0,0
442,0.001219326,0.232142857,0.714285714,0.000202184
443,0.001371742,0.19047619,0.714285714,0.000186632
444,0,0,0,0
445,0.001524158,0.257142857,0.714285714,0.000279947
446,0.001524158,0.271428571,0.714285714,0.0002955
447,0.001524158,0.271428571,0.714285714,0.0002955
448,0.001371742,0.253968254,0.714285714,0.000248842
449,0,0,0,0
450,0.001981405,0.263736264,0.714285714,0.000373263
451,0.001676574,0.246753247,0.714285714,0.0002955
452,0,0,0,0
453,0,0,0,0
454,0.001828989,0.261904762,0.714285714,0.000342158
455,0.002286237,0.257142857,0.714285714,0.000419921
456,0,0,0,0
457,0.001371742,0.253968254,0.714285714,0.000248842
458,0.001676574,0.272727273,0.714285714,0.000326605
459,0.01341259,0.243506494,0.857142857,0.002799474
460,0.001981405,0.252747253,0.714285714,0.00035771
461,0,0,0,0
462,0.006096632,0.264285714,0.857142857,0.001381074
463,0.002286237,0.295238095,0.714285714,0.000482132
464,0,0,0,0
465,0,0,0,0
466,0,0,0,0
467,0,0,0,0
468,0,0,0,0
469,0,0,0,0
470,0,0,0,0
471,0,0,0,0
472,0,0,0,0
473,0,0,0,0
474,0.000457247,0.142857143,0.666666667,4.35E-05
475,0.001066911,0.163265306,0.6,0.000104514
476,0,0,0,0
477,0,0,0,0
478,0,0,0,0
479,0,0,0,0
480,0.000457247,0.142857143,0.666666667,4.35E-05
481,0,0,0,0
482,0.000609663,0.142857143,0.666666667,5.81E-05
483,0,0,0,0
484,0,0,0,0
485,0,0,0,0
486,0,0,0,0
487,0,0,0,0
488,0,0,0,0
489,0,0,0,0
490,0,0,0,0
491,0,0,0,0
492,0.001676574,0.142857143,0.8,0.000191608
493,0.000762079,0.142857143,0.666666667,7.26E-05
494,0.000304832,0.142857143,0.666666667,2.90E-05
495,0,0,0,0
496,0,0,0,0
497,0,0,0,0
498,0,0,0,0
499,0,0,0,0
500,0,0,0,0
501,0,0,0,0
502,0,0,0,0
503,0,0,0,0
504,0,0,0,0
505,0,0,0,0
506,0,0,0,0
507,0,0,0,0
508,0,0,0,0
509,0,0,0,0
510,0,0,0,0
511,0,0,0,0
512,0,0,0,0
513,0,0,0,0
514,0,0,0,0
515,0,0,0,0
516,0,0,0,0
517,0,0,0,0
518,0,0,0,0
519,0,0,0,0
520,0,0,0,0
521,0,0,0,0
522,0.000304832,0.142857143,0.666666667,2.90E-05
523,0.000609663,0.142857143,0.666666667,5.81E-05
524,0,0,0,0
525,0.000762079,0.171428571,0.6,7.84E-05
526,0.000609663,0.214285714,0.666666667,8.71E-05
527,0,0,0,0
528,0,0,0,0
529,0,0,0,0
530,0,0,0,0
531,0,0,0,0
532,0,0,0,0
533,0,0,0,0
534,0.000609663,0.142857143,0.666666667,5.81E-05
535,0.000304832,0.142857143,0.6,2.61E-05
536,0,0,0,0
537,0.000762079,0.171428571,0.666666667,8.71E-05
538,0,0,0,0
539,0.001219326,0.142857143,0.666666667,0.000116126
540,0.000762079,0.171428571,0.666666667,8.71E-05
541,0,0,0,0
542,0.001066911,0.163265306,0.666666667,0.000116126
543,0,0,0,0
544,0,0,0,0
545,0,0,0,0
546,0.000304832,0.142857143,0.6,2.61E-05
547,0,0,0,0
548,0.000152416,0.142857143,0.666666667,1.45E-05
549,0.000914495,0.142857143,0.8,0.000104514
550,0.000914495,0.142857143,0.6,7.84E-05
551,0.000609663,0.142857143,0.666666667,5.81E-05
552,0.001371742,0.142857143,0.8,0.000156771
553,0.000304832,0.142857143,0.666666667,2.90E-05
554,0.000304832,0.142857143,0.666666667,2.90E-05
555,0,0,0,0
556,0,0,0,0
557,0,0,0,0
558,0.001676574,0.142857143,0.8,0.000191608
559,0.000152416,0.142857143,0.666666667,1.45E-05
560,0.000609663,0.142857143,0.666666667,5.81E-05
561,0,0,0,0
562,0,0,0,0
563,0,0,0,0
564,0,0,0,0
565,0,0,0,0
566,0,0,0,0
567,0.001828989,0.333333333,0.666666667,0.000406442
568,0.002133821,0.285714286,0.666666667,0.000406442
569,0,0,0,0
570,0.006096632,0.275,0.8,0.001341259
571,0.006249047,0.278745645,0.8,0.001393516
572,0,0,0,0
573,0,0,0,0
574,0,0,0,0
575,0,0,0,0
576,0,0,0,0
577,0,0,0,0
578,0,0,0,0
579,0,0,0,0
580,0,0,0,0
581,0,0,0,0
582,0,0,0,0
583,0,0,0,0
584,0,0,0,0
585,0,0,0,0
586,0,0,0,0
587,0,0,0,0
588,0,0,0,0
589,0,0,0,0
590,0,0,0,0
591,0,0,0,0
592,0,0,0,0
593,0,0,0,0
594,0.000609663,0.178571429,0.666666667,7.26E-05
595,0.001828989,0.142857143,0.666666667,0.000174189
596,0,0,0,0
597,0,0,0,0
598,0,0,0,0
599,0,0,0,0
600,0.000914495,0.261904762,0.666666667,0.000159674
601,0.001524158,0.328571429,0.666666667,0.000333863
602,0,0,0,0
603,0,0,0,0
604,0,0,0,0
605,0,0,0,0
606,0,0,0,0
607,0,0,0,0
608,0,0,0,0
609,0,0,0,0
610,0,0,0,0
611,0,0,0,0
612,0,0,0,0
613,0,0,0,0
614,0,0,0,0
615,0.000762079,0.142857143,0.666666667,7.26E-05
616,0.000762079,0.171428571,0.666666667,8.71E-05
617,0,0,0,0
618,0.001828989,0.214285714,0.8,0.000313541
619,0.001981405,0.307692308,0.8,0.00048773
620,0,0,0,0
621,0,0,0,0
622,0,0,0,0
623,0,0,0,0
624,0.000914495,0.19047619,0.666666667,0.000116126
625,0.000609663,0.178571429,0.666666667,7.26E-05
626,0,0,0,0
627,0,0,0,0
628,0,0,0,0
629,0,0,0,0
630,0,0,0,0
631,0,0,0,0
632,0,0,0,0
633,0,0,0,0
634,0,0,0,0
635,0,0,0,0
636,0.002438653,0.241071429,0.666666667,0.000391926
637,0.001828989,0.297619048,0.666666667,0.000362895
638,0,0,0,0
639,0,0,0,0
640,0,0,0,0
641,0,0,0,0
642,0.001066911,0.285714286,0.666666667,0.000203221
643,0.001066911,0.326530612,0.666666667,0.000232253
644,0,0,0,0
645,0,0,0,0
646,0,0,0,0
647,0,0,0,0
648,0.003048316,0.228571429,0.8,0.000557406
649,0.002743484,0.261904762,0.8,0.000574825
650,0,0,0,0
651,0.001219326,0.160714286,0.666666667,0.000130642
652,0.000457247,0.285714286,0.666666667,8.71E-05
653,0,0,0,0
654,0.003810395,0.314285714,0.8,0.000958042
655,0.003048316,0.307142857,0.8,0.000749015
656,0,0,0,0
657,0,0,0,0
658,0,0,0,0
659,0,0,0,0
660,0,0,0,0
661,0,0,0,0
662,0,0,0,0
663,0.001371742,0.238095238,0.6875,0.000224541
664,0.001981405,0.340659341,0.6875,0.000464052
665,0.002743484,0.285714286,0.875,0.000685871
666,0.001219326,0.25,0.6875,0.000209572
667,0,0,0,0
668,0.001219326,0.232142857,0.6875,0.000194602
669,0,0,0,0
670,0.007163542,0.273556231,0.75,0.001469724
671,0.00762079,0.28,0.75,0.001600366
672,0.010364274,0.260504202,0.75,0.002024953
673,0,0,0,0
674,0.009907026,0.283516484,0.75,0.002106604
675,0,0,0,0
676,0,0,0,0
677,0,0,0,0
678,0,0,0,0
679,0.000914495,0.238095238,0.6875,0.000149694
680,0.000914495,0.30952381,0.6875,0.000194602
681,0,0,0,0
682,0,0,0,0
683,0,0,0,0
684,0,0,0,0
685,0,0,0,0
686,0,0,0,0
687,0.007925621,0.307692308,0.75,0.001828989
688,0,0,0,0
689,0.007163542,0.26443769,0.75,0.001420733
690,0,0,0,0
691,0,0,0,0
692,0,0,0,0
693,0,0,0,0
694,0,0,0,0
695,0,0,0,0
696,0,0,0,0
697,0.002133821,0.346938776,0.6875,0.00050896
698,0.002133821,0.244897959,0.6875,0.000359266
699,0,0,0,0
700,0,0,0,0
701,0,0,0,0
702,0.001981405,0.32967033,0.6875,0.000449082
703,0,0,0,0
704,0.002286237,0.257142857,0.6875,0.000404174
705,0,0,0,0
706,0,0,0,0
707,0,0,0,0
708,0,0,0,0
709,0.005182137,0.298319328,0.75,0.001159449
710,0.0057918,0.281954887,0.75,0.00122477
711,0,0,0,0
712,0.000762079,0.285714286,0.6875,0.000149694
713,0.000762079,0.228571429,0.6875,0.000119755
714,0,0,0,0
715,0,0,0,0
716,0,0,0,0
717,0.005944216,0.274725275,0.75,0.00122477
718,0,0,0,0
719,0.005486968,0.253968254,0.75,0.001045137
720,0.001981405,0.318681319,0.6875,0.000434113
721,0.001828989,0.30952381,0.6875,0.000389205
722,0.0028959,0.270676692,0.875,0.000685871
723,0,0,0,0
724,0.006096632,0.271428571,0.75,0.0012411
725,0.004877305,0.276785714,0.75,0.001012476
726,0,0,0,0
727,0,0,0,0
728,0,0,0,0
729,0,0,0,0
730,0,0,0,0
731,0,0,0,0
732,0.001371742,0.238095238,0.6875,0.000224541
733,0,0,0,0
734,0.001219326,0.232142857,0.6875,0.000194602
735,0.001828989,0.25,0.6875,0.000314357
736,0.001676574,0.246753247,0.6875,0.000284419
737,0.004877305,0.285714286,0.875,0.001219326
738,0,0,0,0
739,0,0,0,0
740,0,0,0,0
741,0,0,0,0
742,0.007163542,0.300911854,0.75,0.001616696
743,0.007163542,0.276595745,0.75,0.001486054
744,0.0028959,0.30075188,0.6875,0.000598776
745,0.002743484,0.253968254,0.6875,0.000479021
746,0.006096632,0.325,0.875,0.00173373
747,0.001981405,0.21978022,0.6875,0.000299388
748,0,0,0,0
749,0.001828989,0.25,0.6875,0.000314357
750,0,0,0,0
751,0.001828989,0.261904762,0.6875,0.000329327
752,0.001371742,0.253968254,0.6875,0.000239511
753,0.006401463,0.292517007,0.75,0.001404403
754,0,0,0,0
755,0.007011126,0.248447205,0.75,0.001306421
756,0,0,0,0
757,0,0,0,0
758,0,0,0,0
759,0,0,0,0
760,0,0,0,0
761,0,0,0,0
762,0,0,0,0
763,0,0,0,0
764,0,0,0,0
765,0.000609663,0.273809524,0.714285714,0.000119237
766,0,0,0,0
767,0.000609663,0.273809524,0.714285714,0.000119237
768,0,0,0,0
769,0.000457247,0.206349206,0.714285714,6.74E-05
770,0.000457247,0.317460317,0.714285714,0.000103684
771,0.000406442,0.232142857,0.714285714,6.74E-05
772,0,0,0,0
773,0.000406442,0.267857143,0.714285714,7.78E-05
774,0,0,0,0
775,0,0,0,0
776,0,0,0,0
777,0,0,0,0
778,0.000406442,0.214285714,0.714285714,6.22E-05
779,0.000406442,0.303571429,0.714285714,8.81E-05
780,0.001320937,0.225274725,0.857142857,0.000255063
781,0,0,0,0
782,0.001168521,0.229813665,0.857142857,0.000230179
783,0,0,0,0
784,0.004978916,0.195335277,0.857142857,0.000833621
785,0.003403953,0.292110874,0.857142857,0.000852284
786,0.0019306,0.221804511,0.857142857,0.000367042
787,0,0,0,0
788,0.001727379,0.298319328,0.857142857,0.000441695
789,0,0,0,0
790,0,0,0,0
791,0,0,0,0
792,0,0,0,0
793,0.0028959,0.238095238,0.857142857,0.000591
794,0.003657979,0.246031746,0.857142857,0.000771411
795,0,0,0,0
796,0,0,0,0
797,0,0,0,0
798,0,0,0,0
799,0,0,0,0
800,0,0,0,0
801,0.002337042,0.307453416,0.857142857,0.000615884
802,0,0,0,0
803,0.001422547,0.290816327,0.714285714,0.0002955
804,0,0,0,0
805,0,0,0,0
806,0,0,0,0
807,0,0,0,0
808,0,0,0,0
809,0,0,0,0
810,0,0,0,0
811,0.001371742,0.35978836,0.714285714,0.000352526
812,0.001320937,0.274725275,0.714285714,0.000259211
813,0,0,0,0
814,0,0,0,0
815,0,0,0,0
816,0.002641874,0.293956044,0.857142857,0.000665653
817,0,0,0,0
818,0.001016105,0.235714286,0.714285714,0.000171079
819,0,0,0,0
820,0,0,0,0
821,0,0,0,0
822,0,0,0,0
823,0.000863689,0.344537815,0.714285714,0.000212553
824,0.000812884,0.241071429,0.714285714,0.000139974
825,0.000609663,0.261904762,0.714285714,0.000114053
826,0.002845095,0.193877551,0.714285714,0.000394
827,0.000254026,0.142857143,0.857142857,3.11E-05
828,0,0,0,0
829,0,0,0,0
830,0,0,0,0
831,0.003810395,0.23047619,0.857142857,0.000752747
832,5.08E-05,0.142857143,0.5,3.63E-06
833,0.002692679,0.358490566,0.857142857,0.0008274
834,0.002235432,0.211038961,0.714285714,0.000336974
835,0.001473353,0.251231527,0.714285714,0.000264395
836,0.000355637,0.142857143,0.857142857,4.35E-05
837,0.000711274,0.275510204,0.714285714,0.000139974
838,0.004724889,0.215053763,0.714285714,0.000725789
839,0.000203221,0.25,0.857142857,4.35E-05
840,0,0,0,0
841,0.004166032,0.228222997,0.857142857,0.000814958
842,0.001828989,0.297619048,0.857142857,0.000466579
843,0,0,0,0
844,0,0,0,0
845,0,0,0,0
846,0.004623279,0.237048666,0.857142857,0.000939379
847,0,0,0,0
848,0.002438653,0.276785714,0.857142857,0.000578558
849,0.003302342,0.226373626,0.714285714,0.000533974
850,0.002387847,0.270516717,0.714285714,0.000461395
851,0.000508053,0.157142857,0.857142857,6.84E-05
852,0,0,0,0
853,0.002489458,0.265306122,0.857142857,0.000566116
854,0.002235432,0.25974026,0.857142857,0.000497684
855,0,0,0,0
856,0.000508053,0.214285714,0.714285714,7.78E-05
857,0.000508053,0.242857143,0.714285714,8.81E-05
858,0.0009653,0.240601504,0.714285714,0.000165895
859,0,0,0,0
860,0,0,0,0
861,0.000711274,0.285714286,0.714285714,0.000145158
862,0,0,0,0
863,0.000609663,0.273809524,0.714285714,0.000119237
864,0,0,0,0
865,0,0,0,0
866,0,0,0,0
867,0,0,0,0
868,0.000609663,0.30952381,0.714285714,0.000134789
869,0.000660468,0.263736264,0.714285714,0.000124421
870,0.003556368,0.218367347,0.714285714,0.00055471
871,0,0,0,0
872,0,0,0,0
873,0.001371742,0.253968254,0.714285714,0.000248842
874,0,0,0,0
875,0,0,0,0
876,0.000609663,0.297619048,0.714285714,0.000129605
877,0,0,0,0
878,0.000508053,0.285714286,0.714285714,0.000103684
879,0,0,0,0
880,0,0,0,0
881,0,0,0,0
882,0.002946705,0.226600985,0.714285714,0.000476947
883,0,0,0,0
884,0,0,0,0
885,0,0,0,0
886,0.006807905,0.208955224,0.857142857,0.001219326
887,0.002540263,0.268571429,0.857142857,0.000584779
888,0.001473353,0.261083744,0.857142857,0.000329716
889,0.002641874,0.214285714,0.785714286,0.000444805
890,0.000254026,0.2,0.785714286,3.99E-05
891,0.003505563,0.219461698,0.857142857,0.000659432
892,0,0,0,0
893,0.001168521,0.236024845,0.857142857,0.0002364
894,0,0,0,0
895,0,0,0,0
896,0,0,0,0
897,0,0,0,0
898,0.003657979,0.263888889,0.857142857,0.0008274
899,0.002794289,0.244155844,0.857142857,0.000584779
900,0.006503074,0.21875,0.857142857,0.001219326
901,0.001270132,0.24,0.785714286,0.000239511
902,0.000457247,0.19047619,0.857142857,7.47E-05
903,0.002794289,0.207792208,0.857142857,0.000497684
904,0.006249047,0.219512195,0.785714286,0.001077797
905,0.000406442,0.160714286,0.857142857,5.60E-05
